,Age,Gender,self_employed,family_history,treatment,work_interfere,no_employees,remote_work,tech_company,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence,comprehensive_care,comprehensive_support
11,1,0,No,No,No,Never,100-1000,Yes,Yes,Don't know,Don't know,No,No,Yes,Yes,Yes,Yes,Don't know,No,Don't know_Not sure,No_No
12,3,1,No,Yes,Yes,Sometimes,26-100,No,No,Don't know,Somewhat difficult,Yes,Yes,Yes,Yes,Maybe,Maybe,No,Yes,Yes_Yes,No_No
13,2,0,No,Yes,No,Never,100-1000,No,Yes,Don't know,Don't know,No,No,Yes,Yes,No,No,Don't know,No,Don't know_Not sure,No_Don't know
14,0,0,No,No,No,Never,6-25,No,Yes,Don't know,Somewhat easy,No,No,Some of them,Some of them,Maybe,Yes,Yes,No,Don't know_Not sure,Don't know_Don't know
15,1,1,No,Yes,Yes,Rarely,26-100,No,Yes,Don't know,Somewhat easy,No,No,Yes,Some of them,Maybe,Maybe,Don't know,No,Yes_Not sure,No_No
16,0,0,No,No,Yes,Sometimes,26-100,Yes,Yes,Don't know,Very easy,Maybe,No,Some of them,No,Maybe,Maybe,No,No,Don't know_No,Don't know_Don't know
17,2,0,No,No,Yes,Sometimes,6-25,No,Yes,Don't know,Don't know,Maybe,No,Some of them,Yes,No,No,No,No,Yes_Yes,No_Don't know
18,3,0,Yes,Yes,No,Sometimes,1-5,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes_Not sure,Yes_Don't know
19,2,0,Yes,Yes,No,Never,6-25,Yes,Yes,Yes,Somewhat easy,No,No,Some of them,Some of them,Maybe,Maybe,Don't know,No,No_No,Yes_No
20,1,0,No,Yes,Yes,Sometimes,100-1000,No,Yes,No,Somewhat difficult,Maybe,No,Some of them,Some of them,No,No,No,No,Yes_Yes,No_No
21,1,0,Yes,No,No,Never,1-5,Yes,Yes,Yes,Somewhat difficult,No,No,Some of them,Some of them,No,Maybe,Yes,No,No_No,No_No
22,3,0,No,No,Yes,Often,26-100,Yes,Yes,Don't know,Don't know,Maybe,No,Some of them,Yes,No,Maybe,No,No,Yes_Yes,No_No
23,3,0,No,No,Yes,Never,More than 1000,No,No,Don't know,Don't know,Maybe,No,No,No,No,Yes,Don't know,No,Don't know_No,No_Don't know
24,2,0,No,Yes,Yes,Rarely,26-100,No,Yes,Yes,Don't know,No,No,Yes,Yes,No,Yes,Don't know,No,Yes_Not sure,Don't know_Yes
25,2,0,No,Yes,Yes,Sometimes,More than 1000,No,No,No,Very easy,Yes,No,Some of them,Yes,No,Yes,No,No,Yes_Yes,No_Don't know
26,2,0,No,No,No,Never,1-5,No,Yes,Don't know,Don't know,Maybe,Maybe,Some of them,No,No,No,Don't know,No,Don't know_Not sure,No_Don't know
27,2,1,No,Yes,Yes,Rarely,6-25,Yes,Yes,Don't know,Don't know,No,No,Yes,Yes,Maybe,Maybe,Yes,No,Yes_Yes,Don't know_Don't know
28,2,0,No,No,Yes,Sometimes,26-100,Yes,Yes,Don't know,Somewhat difficult,No,No,Some of them,No,No,No,No,No,Don't know_Not sure,No_Don't know
29,3,0,No,No,No,Sometimes,6-25,No,Yes,Don't know,Very difficult,Yes,Maybe,Some of them,No,No,Maybe,No,No,No_No,No_No
30,2,0,No,No,No,Never,6-25,Yes,Yes,Don't know,Don't know,Yes,Yes,Some of them,Some of them,No,Maybe,No,No,No_No,No_No
31,1,0,Yes,Yes,No,Rarely,1-5,Yes,Yes,Don't know,Somewhat difficult,Yes,No,No,No,No,No,No,Yes,No_Yes,No_No
32,1,0,No,Yes,Yes,Sometimes,100-1000,Yes,Yes,Yes,Somewhat easy,Maybe,No,Some of them,Yes,No,Yes,Don't know,No,Don't know_No,No_No
33,3,0,No,Yes,Yes,Sometimes,26-100,Yes,Yes,Yes,Very easy,Maybe,No,Some of them,Some of them,Maybe,Yes,Don't know,No,Yes_Yes,Yes_Yes
34,3,1,No,No,Yes,Sometimes,1-5,No,Yes,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Yes,No,Yes_Yes,No_No
35,0,0,No,No,Yes,Rarely,6-25,No,Yes,Don't know,Very easy,No,No,Yes,Yes,Maybe,Maybe,Don't know,No,No_Yes,No_No
36,1,0,No,No,No,Rarely,1-5,No,Yes,Don't know,Very easy,Yes,Maybe,Some of them,No,No,No,Don't know,No,No_No,No_No
37,3,0,No,No,No,Never,100-1000,No,Yes,Don't know,Somewhat easy,Maybe,No,Some of them,Some of them,No,Maybe,No,No,No_Yes,No_No
38,3,0,No,No,No,Never,100-1000,No,Yes,Don't know,Don't know,No,No,Some of them,Yes,No,Maybe,Don't know,No,Yes_Yes,No_Don't know
39,2,0,No,No,Yes,Rarely,More than 1000,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No,Yes_Yes,No_Yes
40,0,0,No,No,Yes,Sometimes,6-25,No,Yes,Don't know,Don't know,Maybe,Maybe,Some of them,No,No,Yes,No,Yes,No_No,No_No
41,2,0,No,No,No,Never,More than 1000,Yes,Yes,Don't know,Somewhat difficult,Yes,Yes,Some of them,No,No,Maybe,Don't know,No,Yes_Not sure,Don't know_Yes
42,0,0,No,Yes,Yes,Sometimes,1-5,No,Yes,Yes,Very difficult,Maybe,No,Some of them,No,No,No,Yes,No,No_Yes,No_No
43,0,0,No,No,No,Often,6-25,No,Yes,Don't know,Somewhat difficult,Yes,Maybe,No,Some of them,No,No,No,No,No_Not sure,No_No
44,1,0,No,No,Yes,Sometimes,26-100,No,Yes,Don't know,Don't know,No,No,No,No,No,Maybe,Don't know,No,Don't know_No,No_No
45,3,1,No,Yes,Yes,Sometimes,26-100,No,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,No,No,Yes,No,Yes_Yes,No_Yes
46,1,0,No,No,No,Never,26-100,No,Yes,Don't know,Don't know,No,Maybe,Some of them,Yes,Maybe,Yes,Don't know,No,Don't know_Not sure,No_No
47,2,0,No,No,No,Never,6-25,No,Yes,Don't know,Don't know,No,No,Yes,Yes,Maybe,Yes,Don't know,No,No_No,No_No
48,0,0,Yes,No,No,Sometimes,1-5,No,Yes,Don't know,Don't know,No,No,Yes,Yes,No,No,Yes,No,No_Yes,Yes_No
49,1,0,No,Yes,Yes,Rarely,26-100,No,Yes,Don't know,Don't know,Maybe,No,Some of them,Yes,No,No,Don't know,No,Yes_No,No_Don't know
50,0,0,No,Yes,Yes,Often,6-25,No,Yes,Yes,Very difficult,Maybe,No,No,No,No,Maybe,Don't know,No,No_Yes,No_No
51,2,0,No,No,No,Never,100-1000,Yes,Yes,Don't know,Don't know,No,No,Some of them,Yes,Maybe,Maybe,Don't know,No,Don't know_Not sure,Don't know_Don't know
52,1,0,No,No,No,Never,100-1000,Yes,Yes,Don't know,Don't know,Maybe,Maybe,Some of them,Some of them,Maybe,Maybe,Don't know,No,Don't know_No,Don't know_Don't know
53,2,0,No,No,No,Never,1-5,Yes,Yes,Don't know,Don't know,Maybe,No,Some of them,Yes,No,No,Don't know,No,Don't know_Not sure,No_No
54,1,0,No,No,No,Never,100-1000,No,Yes,Don't know,Don't know,No,No,No,No,No,Maybe,Don't know,No,No_No,No_No
55,0,0,No,Yes,Yes,Rarely,26-100,No,Yes,Yes,Don't know,Maybe,No,No,No,No,No,Don't know,No,Yes_Yes,No_No
56,2,0,No,Yes,No,Never,6-25,Yes,Yes,Don't know,Somewhat easy,No,No,Yes,Yes,No,No,Yes,No,Don't know_No,No_No
57,0,0,No,Yes,Yes,Sometimes,26-100,Yes,Yes,Don't know,Don't know,No,Maybe,Some of them,Yes,Yes,Yes,No,No,Don't know_No,No_No
58,0,0,No,No,No,Never,26-100,No,No,Yes,Somewhat easy,No,No,Some of them,Yes,Maybe,Yes,Don't know,No,No_No,No_No
59,2,0,No,Yes,Yes,Often,6-25,Yes,Yes,No,Somewhat difficult,Yes,No,No,No,No,Maybe,Don't know,No,Don't know_No,No_No
60,3,0,No,Yes,Yes,Sometimes,More than 1000,No,No,Don't know,Don't know,Yes,Maybe,Some of them,No,No,Maybe,Don't know,Yes,Yes_No,No_Don't know
61,0,1,No,No,Yes,Sometimes,26-100,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,Maybe,Yes,Yes,No,Don't know_Not sure,Yes_Yes
62,0,0,No,No,No,Never,100-1000,No,Yes,Don't know,Somewhat easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No,Yes_Not sure,No_Yes
63,0,0,No,No,No,Never,26-100,No,Yes,Don't know,Very easy,Yes,No,No,No,No,No,No,Yes,No_No,No_No
64,2,0,No,No,No,Sometimes,6-25,No,Yes,Don't know,Somewhat easy,No,No,Some of them,Yes,No,Maybe,Don't know,No,Don't know_No,No_No
65,3,0,No,Yes,No,Sometimes,More than 1000,Yes,Yes,Don't know,Don't know,Yes,Maybe,Some of them,No,No,No,No,Yes,Yes_Yes,Yes_Yes
66,0,1,No,Yes,Yes,Often,1-5,Yes,Yes,Don't know,Very easy,No,No,Some of them,Yes,No,Maybe,Yes,No,No_Not sure,No_No
67,2,0,No,No,No,Sometimes,100-1000,Yes,Yes,Don't know,Don't know,Maybe,No,Some of them,Some of them,Maybe,Yes,Yes,No,Yes_No,Don't know_Yes
68,1,1,No,No,No,Never,26-100,Yes,No,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,No,Don't know_No,Don't know_Don't know
69,2,0,Yes,No,No,Rarely,1-5,Yes,Yes,Don't know,Don't know,Maybe,No,Some of them,No,No,No,Don't know,No,No_No,No_No
70,1,0,No,No,No,Never,26-100,No,Yes,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,No,Don't know,No,No_No,No_No
71,2,0,No,No,No,Never,6-25,No,Yes,Don't know,Somewhat easy,No,No,Some of them,Yes,No,No,Don't know,No,Don't know_Not sure,Don't know_Don't know
72,0,2,No,No,No,Rarely,More than 1000,No,Yes,Yes,Somewhat difficult,Maybe,No,Yes,Yes,No,No,No,No,Yes_Yes,No_No
73,3,0,No,No,No,Never,26-100,No,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,Maybe,Yes,Yes,No,No_No,No_Don't know
74,2,0,No,No,No,Never,More than 1000,No,Yes,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Yes,No,Don't know_Not sure,Yes_Don't know
75,0,0,No,No,No,Never,1-5,No,Yes,No,Somewhat difficult,Yes,No,No,No,No,Maybe,No,No,No_Yes,No_No
76,0,0,No,No,No,Never,More than 1000,Yes,Yes,Don't know,Don't know,No,No,Yes,Yes,Maybe,Yes,Yes,No,Yes_Yes,Yes_Yes
77,1,0,Yes,Yes,No,Sometimes,1-5,Yes,Yes,Yes,Somewhat difficult,No,No,Yes,Yes,Maybe,Maybe,Yes,No,No_No,No_No
78,2,0,No,Yes,Yes,Sometimes,26-100,Yes,Yes,Don't know,Somewhat difficult,Yes,No,Some of them,No,No,Yes,No,No,No_No,No_No
79,1,0,No,No,No,Never,6-25,Yes,Yes,Don't know,Very easy,No,No,Some of them,Some of them,Maybe,Yes,Yes,No,Don't know_No,Don't know_Don't know
80,3,0,No,Yes,No,Sometimes,100-1000,Yes,Yes,Don't know,Don't know,No,No,Yes,Some of them,Maybe,Maybe,Yes,No,Yes_Yes,No_Yes
81,0,0,No,No,No,Never,26-100,No,Yes,Don't know,Very easy,No,No,Some of them,Yes,Maybe,Maybe,Yes,No,Yes_Not sure,Yes_Don't know
82,1,0,No,No,No,Never,26-100,No,No,Don't know,Don't know,No,No,Some of them,Yes,No,No,No,No,No_No,No_No
83,0,1,Yes,No,Yes,Often,1-5,Yes,Yes,Yes,Very easy,Maybe,Maybe,Some of them,Yes,No,Maybe,Yes,No,Yes_Yes,Yes_Yes
84,2,0,No,Yes,No,Never,More than 1000,No,Yes,Don't know,Don't know,Yes,No,No,No,No,Maybe,No,No,No_No,No_No
85,1,0,No,No,No,Never,26-100,No,Yes,Don't know,Don't know,No,No,Some of them,Yes,Maybe,Maybe,No,No,Don't know_Not sure,No_No
86,3,0,Yes,No,Yes,Often,6-25,No,Yes,Don't know,Very difficult,Maybe,No,Some of them,No,No,Maybe,No,Yes,No_No,No_No
87,2,1,No,Yes,Yes,Rarely,100-1000,Yes,Yes,Don't know,Don't know,Yes,Maybe,Some of them,Some of them,No,No,Don't know,No,Yes_Not sure,No_Don't know
88,1,1,No,No,Yes,Sometimes,26-100,No,Yes,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,No,Yes,Yes_Yes,No_No
89,2,0,No,No,No,Never,100-1000,No,Yes,Don't know,Don't know,No,No,Some of them,Some of them,No,No,Don't know,No,Don't know_No,No_Don't know
90,1,0,No,No,No,Never,100-1000,No,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,No,No,Yes,No,Yes_Yes,Yes_Yes
91,3,0,No,No,Yes,Sometimes,26-100,No,Yes,Yes,Very difficult,No,No,Yes,Yes,Yes,Yes,No,No,No_Yes,No_No
92,2,0,No,No,No,Never,26-100,No,Yes,Don't know,Somewhat easy,Maybe,No,Some of them,No,No,Maybe,Don't know,No,Don't know_No,No_No
93,0,2,No,No,No,Never,26-100,Yes,Yes,Yes,Somewhat easy,No,No,Yes,Yes,Yes,Yes,Don't know,No,Yes_Yes,No_No
94,0,1,No,No,Yes,Sometimes,26-100,No,Yes,Don't know,Don't know,Maybe,No,Some of them,Yes,No,Maybe,Don't know,No,Yes_Yes,No_Don't know
95,1,0,No,No,No,Never,26-100,No,Yes,Don't know,Don't know,No,No,Yes,Yes,Maybe,Maybe,No,No,Don't know_No,No_Don't know
96,0,0,No,Yes,No,Rarely,26-100,No,Yes,Don't know,Somewhat easy,Maybe,Maybe,Some of them,No,No,Maybe,Don't know,No,Don't know_Not sure,No_Don't know
97,1,0,No,Yes,Yes,Sometimes,6-25,No,Yes,Don't know,Don't know,No,No,Some of them,Yes,Maybe,Yes,No,No,Don't know_No,No_No
98,2,0,No,No,Yes,Sometimes,6-25,No,Yes,Don't know,Somewhat easy,Maybe,No,Some of them,No,No,Maybe,No,No,No_Yes,No_No
99,1,0,No,No,Yes,Often,1-5,No,Yes,Yes,Somewhat easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No,No_Yes,No_No
100,0,1,No,Yes,Yes,Sometimes,26-100,No,No,No,Very difficult,Yes,No,No,No,No,Maybe,No,Yes,No_Yes,No_No
101,3,1,No,No,No,Never,100-1000,No,Yes,Don't know,Don't know,Maybe,Maybe,No,Some of them,No,No,Don't know,No,Yes_Not sure,Don't know_Don't know
102,0,0,No,Yes,No,Never,26-100,No,Yes,Don't know,Very easy,No,No,Some of them,Yes,No,No,Don't know,No,Don't know_No,Don't know_Don't know
103,2,0,No,Yes,Yes,Sometimes,26-100,Yes,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,Maybe,Maybe,Yes,No,Yes_Yes,Yes_Yes
104,1,0,No,No,No,Never,More than 1000,No,Yes,Don't know,Somewhat easy,No,No,Some of them,Yes,No,No,Don't know,No,Yes_Not sure,Yes_Don't know
105,2,0,No,Yes,No,Rarely,6-25,No,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,No,No,Don't know,No,Yes_Not sure,No_No
106,2,0,No,Yes,Yes,Sometimes,26-100,Yes,Yes,Don't know,Somewhat easy,No,No,Some of them,Yes,No,Maybe,No,No,Don't know_Not sure,No_No
107,1,0,No,Yes,Yes,Rarely,6-25,No,Yes,No,Don't know,Maybe,No,Yes,Yes,No,No,Don't know,Yes,No_No,No_No
108,2,0,No,Yes,No,Never,6-25,Yes,Yes,Don't know,Don't know,Maybe,No,No,No,No,No,Don't know,No,Yes_No,No_No
109,2,0,No,No,Yes,Sometimes,26-100,No,Yes,Yes,Somewhat difficult,Maybe,No,Some of them,Yes,No,Maybe,Yes,No,Yes_No,Yes_Yes
110,0,0,No,No,Yes,Sometimes,100-1000,No,Yes,Yes,Don't know,Yes,No,No,No,No,Yes,No,No,Yes_Yes,No_Don't know
111,1,0,No,No,Yes,Sometimes,26-100,No,Yes,Yes,Somewhat easy,No,No,Some of them,Some of them,No,Maybe,Yes,No,Yes_Yes,Yes_Yes
112,3,0,No,Yes,Yes,Rarely,6-25,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes_Yes,No_Yes
113,2,0,No,No,No,Never,100-1000,No,Yes,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,No,Don't know,No,Yes_Yes,No_Don't know
114,1,0,No,No,No,Never,More than 1000,No,Yes,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,No,Don't know_No,No_Don't know
115,0,0,No,No,No,Never,6-25,No,Yes,Don't know,Very easy,No,No,Some of them,Some of them,No,No,Don't know,Yes,Don't know_No,No_Don't know
116,0,0,Yes,No,No,Often,1-5,Yes,No,Yes,Very difficult,Yes,No,Some of them,Yes,No,Maybe,No,No,No_Yes,No_No
117,0,0,No,No,No,Rarely,6-25,No,No,Yes,Very easy,Maybe,No,Some of them,Yes,No,No,Don't know,No,Yes_Yes,Yes_Yes
118,0,0,No,No,Yes,Rarely,1-5,Yes,Yes,Yes,Very easy,No,No,Some of them,No,No,No,Don't know,No,No_No,No_No
119,2,0,No,No,No,Never,26-100,Yes,Yes,Don't know,Don't know,No,No,Some of them,Yes,Maybe,Maybe,Don't know,No,Don't know_Not sure,No_Don't know
120,1,0,No,No,No,Never,More than 1000,No,Yes,Don't know,Don't know,Yes,Yes,No,No,No,No,Don't know,No,Yes_Yes,No_Yes
121,0,0,No,No,No,Never,26-100,Yes,Yes,Don't know,Very easy,No,No,Some of them,Yes,No,No,Don't know,No,Don't know_No,No_No
122,2,0,No,Yes,Yes,Sometimes,6-25,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,No,Maybe,Yes,No,Don't know_No,Don't know_Don't know
123,2,0,No,No,No,Often,6-25,No,Yes,Yes,Don't know,Maybe,No,No,No,No,No,Don't know,No,Yes_No,No_No
124,0,0,No,No,Yes,Never,100-1000,No,No,Don't know,Very difficult,Maybe,No,Some of them,Yes,No,Maybe,No,Yes,Yes_Not sure,No_No
125,0,0,No,Yes,No,Never,100-1000,No,Yes,Yes,Don't know,Yes,No,Some of them,No,No,Yes,Don't know,No,Yes_No,Yes_Yes
126,0,0,No,No,No,Never,6-25,No,Yes,Don't know,Don't know,No,No,Some of them,Some of them,No,No,Don't know,No,No_No,No_No
127,2,0,No,No,Yes,Rarely,100-1000,No,Yes,Yes,Don't know,Yes,No,No,Yes,No,No,Don't know,No,Yes_Yes,No_Yes
128,1,0,No,Yes,No,Sometimes,6-25,No,Yes,Don't know,Somewhat easy,Maybe,Maybe,No,No,No,No,Yes,No,No_No,No_No
129,0,0,No,No,Yes,Sometimes,6-25,No,Yes,Don't know,Somewhat easy,Yes,Yes,Some of them,No,No,No,Don't know,No,Don't know_No,No_No
130,2,0,No,Yes,Yes,Sometimes,More than 1000,No,Yes,Don't know,Very easy,Maybe,No,Yes,Some of them,No,Yes,No,No,Yes_Yes,No_No
131,2,0,No,No,No,Rarely,1-5,Yes,Yes,Don't know,Very difficult,Maybe,No,Yes,Some of them,No,Yes,Don't know,No,No_Yes,No_No
132,0,0,No,No,No,Never,26-100,No,Yes,Don't know,Don't know,No,No,Yes,Yes,Maybe,Maybe,Don't know,No,Don't know_Not sure,Don't know_Don't know
133,3,0,No,No,No,Never,26-100,Yes,Yes,Yes,Somewhat easy,No,No,Yes,Yes,Maybe,Yes,No,No,No_Yes,No_No
134,0,0,No,No,Yes,Never,26-100,No,Yes,Don't know,Don't know,No,No,Some of them,Yes,Maybe,Yes,Don't know,No,Don't know_No,No_No
135,3,0,No,No,No,Never,26-100,No,No,Don't know,Don't know,Yes,Maybe,No,No,No,No,Don't know,No,No_No,No_No
136,1,0,No,No,No,Never,6-25,No,Yes,Yes,Very easy,No,No,Some of them,Yes,Maybe,Maybe,Yes,No,Don't know_No,No_No
137,3,0,No,No,Yes,Often,More than 1000,No,Yes,Don't know,Somewhat easy,No,No,Yes,Yes,No,No,Don't know,No,Yes_Not sure,No_No
138,1,1,No,No,No,Never,6-25,No,Yes,Don't know,Somewhat easy,Maybe,No,Some of them,No,No,No,Don't know,No,Don't know_No,No_Don't know
139,0,0,No,No,No,Never,6-25,Yes,Yes,Don't know,Somewhat easy,No,No,Some of them,Some of them,No,No,Don't know,No,Don't know_No,Don't know_No
140,3,0,No,Yes,Yes,Sometimes,100-1000,No,Yes,Don't know,Don't know,Maybe,No,Some of them,Yes,No,No,Don't know,No,Don't know_No,Don't know_Don't know
141,3,0,Yes,No,Yes,Sometimes,More than 1000,No,No,Yes,Very difficult,Yes,Yes,Some of them,No,No,Maybe,Yes,No,No_Yes,Yes_Yes
142,2,0,No,No,No,Never,26-100,Yes,No,Don't know,Don't know,Yes,No,Some of them,No,No,Maybe,Don't know,No,Don't know_Not sure,Don't know_Don't know
144,1,1,No,Yes,No,Never,More than 1000,Yes,Yes,Don't know,Don't know,Maybe,Maybe,Some of them,Some of them,No,Maybe,Don't know,No,Don't know_Not sure,No_Don't know
145,3,0,No,Yes,Yes,Rarely,100-1000,No,No,Don't know,Somewhat easy,Maybe,Maybe,Some of them,Yes,Maybe,Maybe,Don't know,No,Yes_Yes,Yes_Yes
146,0,0,No,No,No,Never,6-25,No,Yes,Yes,Don't know,Maybe,Maybe,No,Some of them,No,No,Don't know,No,No_No,No_No
147,0,0,No,No,No,Sometimes,6-25,No,No,No,Somewhat easy,Yes,Yes,No,No,No,No,No,No,No_No,No_No
148,1,0,No,No,Yes,Rarely,100-1000,No,Yes,Don't know,Somewhat easy,Yes,No,Some of them,No,No,No,No,Yes,No_Yes,Yes_Yes
149,1,1,No,No,No,Never,100-1000,Yes,Yes,Don't know,Don't know,Maybe,No,No,Some of them,No,Maybe,Don't know,No,Don't know_Not sure,No_Don't know
150,0,0,Yes,Yes,No,Never,1-5,Yes,Yes,Yes,Somewhat easy,Maybe,No,Some of them,Some of them,Maybe,Maybe,Don't know,No,Don't know_Not sure,No_Yes
151,2,0,No,Yes,No,Never,26-100,No,Yes,Don't know,Very easy,No,No,Some of them,Some of them,No,Maybe,No,No,Don't know_Not sure,No_No
152,1,0,No,No,No,Rarely,6-25,Yes,Yes,Don't know,Don't know,No,No,Yes,Yes,Maybe,Yes,Yes,No,No_No,No_No
153,2,0,No,No,No,Never,6-25,No,Yes,Don't know,Don't know,No,No,Some of them,Some of them,Maybe,Maybe,Don't know,No,Don't know_Not sure,Don't know_Don't know
154,3,0,No,Yes,Yes,Rarely,More than 1000,No,No,Yes,Somewhat difficult,Yes,Maybe,Some of them,No,No,Yes,No,Yes,Yes_Yes,Yes_Yes
155,0,0,No,Yes,Yes,Sometimes,26-100,No,No,Don't know,Somewhat difficult,Maybe,No,Some of them,Some of them,No,Maybe,No,No,Don't know_No,No_Don't know
156,0,0,No,Yes,Yes,Sometimes,More than 1000,No,Yes,Don't know,Don't know,No,No,No,Some of them,No,Maybe,Don't know,No,Don't know_No,No_Don't know
157,0,0,No,No,No,Often,26-100,No,No,Don't know,Don't know,Yes,Maybe,Some of them,Yes,No,Maybe,No,No,Don't know_Not sure,No_No
158,0,0,No,No,Yes,Rarely,26-100,Yes,Yes,Don't know,Somewhat difficult,Maybe,No,Some of them,Yes,No,No,Don't know,Yes,No_Yes,No_No
159,0,0,No,Yes,Yes,Sometimes,26-100,No,Yes,Don't know,Very easy,Maybe,No,Some of them,No,No,No,Don't know,Yes,Don't know_Not sure,No_No
160,2,0,No,No,Yes,Sometimes,More than 1000,No,No,Yes,Somewhat easy,Maybe,Maybe,Some of them,Some of them,No,Maybe,Don't know,Yes,Yes_Yes,Yes_Yes
161,0,1,No,Yes,Yes,Sometimes,100-1000,No,Yes,Don't know,Don't know,Yes,Yes,Some of them,Some of them,No,No,Don't know,No,Yes_No,No_No
162,1,0,No,No,No,Never,More than 1000,No,Yes,Don't know,Don't know,No,No,Some of them,Some of them,No,No,Don't know,No,Yes_No,No_Yes
163,0,0,No,Yes,No,Rarely,6-25,No,Yes,Don't know,Don't know,Maybe,No,Some of them,Yes,No,No,Don't know,No,Don't know_No,No_No
164,2,1,Yes,Yes,Yes,Sometimes,1-5,No,Yes,Yes,Very difficult,No,No,Some of them,Yes,No,Yes,Yes,No,No_Yes,Yes_Yes
165,0,1,Yes,Yes,No,Never,1-5,Yes,Yes,Yes,Somewhat easy,No,No,Yes,Yes,No,Maybe,Yes,No,No_Yes,No_No
166,2,0,No,No,No,Never,26-100,No,Yes,Don't know,Very easy,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,No,No_No,No_No
167,3,0,No,No,No,Never,6-25,No,Yes,Don't know,Very difficult,Maybe,No,Yes,Yes,No,Maybe,No,No,No_Yes,No_No
168,0,0,Yes,Yes,No,Sometimes,1-5,No,Yes,Don't know,Very difficult,Yes,No,No,No,No,Maybe,No,No,No_No,No_No
169,0,0,No,No,No,Rarely,100-1000,No,Yes,Don't know,Very easy,Maybe,Maybe,Some of them,Some of them,No,Maybe,Don't know,No,Don't know_Not sure,Yes_Don't know
170,0,0,No,No,Yes,Sometimes,More than 1000,No,Yes,Yes,Somewhat easy,No,No,Yes,Yes,No,No,Don't know,No,Yes_Yes,Don't know_Don't know
171,1,0,Yes,No,Yes,Often,6-25,No,Yes,Don't know,Don't know,Maybe,No,Some of them,Yes,No,Maybe,Don't know,No,Don't know_No,No_No
172,0,0,No,No,Yes,Never,More than 1000,No,Yes,Don't know,Very difficult,Yes,Maybe,No,No,Maybe,Maybe,No,No,Don't know_Not sure,No_No
173,0,1,No,No,No,Never,6-25,No,Yes,Don't know,Don't know,Maybe,Maybe,Some of them,Yes,No,Maybe,Yes,No,Don't know_No,No_Don't know
